No,TMNo,EnNo,Name,Column1,GMNo,Mode,IN/OUT,Antipass,DateTime
457,1,31,          ,1,1, ,0,3/15/2021 12:16,
458,1,52,          ,1,1, ,0,3/15/2021 12:16,
459,1,6,          ,1,1, ,0,3/15/2021 12:16,
460,1,16,          ,1,1, ,0,3/15/2021 12:17,
461,1,33,          ,1,1, ,0,3/15/2021 12:19,
462,1,39,          ,1,1, ,0,3/15/2021 12:19,
463,1,17,          ,1,1, ,0,3/15/2021 12:19,
464,1,25,          ,1,1, ,0,3/15/2021 12:19,
465,1,35,          ,1,1, ,0,3/15/2021 12:19,
466,1,20,          ,1,1, ,0,3/15/2021 12:19,
467,1,14,          ,1,1, ,0,3/15/2021 12:20,
468,1,9,          ,1,1, ,0,3/15/2021 12:26,
469,1,58,          ,1,1, ,0,3/15/2021 12:26,
470,1,58,          ,1,1, ,0,3/15/2021 12:26,
471,1,52,          ,1,1, ,0,3/15/2021 12:27,
472,1,30,          ,1,1, ,0,3/15/2021 12:28,
473,1,55,          ,1,1, ,0,3/15/2021 12:31,
